State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
900,01/13/2020,-1.76,-5.43,-13.8,-5.22,-2.76,0.89,0.466,-3.24,-3.65
2500,01/13/2020,-0.22,-2.47,-14,-2.31,0.309,3.51,-1.92,0.3,0.208
3400,01/13/2020,-0.56,-3.86,-11.6,0.655,-0.623,4.77,1.23,0.227,1.09
3600,01/13/2020,-0.373,-3.64,-13.9,-1.46,-0.884,7.91,-0.107,-0.548,-0.256
4400,01/13/2020,-1.85,-15,-19.1,-5.96,-0.105,1.23,-31.2,-4.51,-9.52
900,01/14/2020,0.633,-2.73,-8.08,-2.51,0.725,0.307,5.69,-0.212,-0.999
2500,01/14/2020,1.24,-2.36,-10.1,-0.673,3.82,4.86,-0.332,2.01,-0.283
3400,01/14/2020,0.89,-3.53,-9.32,0.167,0.368,3.31,3.22,0.34,0.353
3600,01/14/2020,0.427,-2.34,-10.3,-0.243,0.745,11,-1.98,0.403,-0.0115
4400,01/14/2020,0.0824,-12,-30.7,-6.85,4.16,-2.64,-25.3,-2.74,-10.6
900,01/15/2020,1.49,-3.42,-0.534,-1.11,1.64,3.25,2.32,0.255,-0.908
2500,01/15/2020,2.12,-1.95,-8.23,1.14,6.17,11.7,0.512,3.77,0.704
3400,01/15/2020,1.17,-3.38,-5.41,-1.15,0.452,3.82,5.32,-0.395,-1.18
3600,01/15/2020,1.33,-1.89,-3.93,0.239,2.52,10.4,-2.64,1.57,0.525
4400,01/15/2020,1.85,-9.42,-23.2,-2.45,5.23,-6.51,-27.9,0.956,-4.06
900,01/16/2020,1.15,-3.06,-4.35,-1.36,2.51,1.6,6.04,0.369,-1.41
2500,01/16/2020,2.01,-0.731,-8.33,1.94,6.51,9.59,-1.8,3.87,0.415
3400,01/16/2020,0.394,-3.11,-4.17,-2.52,0.683,-4,2.92,-0.729,-2.07
3600,01/16/2020,0.986,-1.44,-5.12,0.311,3.33,7.24,-0.14,1.91,0.368
4400,01/16/2020,-2.57,-4.54,-8.42,-7.13,5.29,-10.4,-9.77,0.593,-4.88
900,01/17/2020,0.961,-2.55,-1.24,-2.23,1.93,0.178,10.1,0.568,-0.61
2500,01/17/2020,0.226,-0.974,-7.26,-2.07,4.29,8.2,0.319,1.55,-2.1
3400,01/17/2020,-1.45,-3.13,-3.19,-3.94,-1.05,-1.19,1.58,-2.19,-3.26
3600,01/17/2020,-0.327,-1.01,-1.21,-2.98,0.625,0.946,1.44,-0.498,-1.73
4400,01/17/2020,-2.2,-1.43,-8.37,-1.84,9.18,-14.3,5.73,4.81,-0.297
900,01/18/2020,0.756,-4.33,-1.93,-4.38,3.47,1.95,12.4,0.75,-1.49
2500,01/18/2020,-0.11,-2.48,-7.03,-2.34,4.3,0.191,-1.7,1.28,-2.71
3400,01/18/2020,-0.847,-3.44,0.142,-4.82,-0.664,-1.26,2.78,-2.59,-4.46
3600,01/18/2020,-0.815,-2.4,0.225,-4.92,-1.06,-1.22,5.05,-2.8,-4.62
4400,01/18/2020,3.04,-4.23,-3.93,-1.05,6.09,-18.1,13.1,3.16,-0.388
900,01/19/2020,0.908,-1.37,3.26,-4.76,-0.528,0.76,6.23,-1.51,-2.25
2500,01/19/2020,0.305,-0.321,4.49,-0.726,-0.0827,1.62,4.1,-0.575,-1.15
3400,01/19/2020,0.466,-0.0216,8.07,-3.09,-0.161,-1.66,3.23,-1.69,-3.1
3600,01/19/2020,0.937,0.831,4.46,-1.88,-0.333,-1.15,6.71,-1.01,-1.64
4400,01/19/2020,-0.226,-0.189,-4.86,2.26,0.264,-22,23.4,2.31,4.46
900,01/20/2020,7.72,8.47,5.03,7.75,11.6,1.48,3.07,10.8,10
2500,01/20/2020,7.12,6.29,11.8,9.81,11.6,0.996,15.2,10,7.82
3400,01/20/2020,3.32,3.4,9.78,1.28,5.9,3.19,3.62,3.43,1.08
3600,01/20/2020,5.95,5.81,6.66,5.7,8.67,1.63,11.2,7.22,5.58
4400,01/20/2020,4.44,10.1,32.6,13.3,6.06,-20,45.4,9.84,14.2
900,01/21/2020,7.95,6.42,12.5,5.01,8.57,3.18,9.8,7.13,5.87
2500,01/21/2020,5.26,5.62,9.86,3.75,5.42,6.96,8.33,4.58,3.2
3400,01/21/2020,3.87,3.17,13,1.19,4.06,0.247,4.44,2.44,0.813
3600,01/21/2020,5.14,4.77,6.3,3.79,5.76,-0.52,11.9,4.68,3.4
4400,01/21/2020,2.55,-1.44,1.85,5.33,3.21,-18.1,29.5,4.19,5.01
900,01/22/2020,5.87,5,4.88,3.03,5.25,0.304,7.67,5.34,5.31
2500,01/22/2020,3.98,4.73,5.63,2.11,1.5,6.99,6.21,1.99,2.26
3400,01/22/2020,2.98,2.34,10.2,1.36,2.47,-2.06,1.14,1.7,0.884
3600,01/22/2020,3.82,4.22,-0.0029,3.09,2.64,-1.68,11.7,2.79,2.75
4400,01/22/2020,-0.573,0.0873,-8.82,5.72,-1.29,-16.1,10.1,0.13,1.49
900,01/23/2020,4.54,5.94,9.74,1.29,3.85,5.71,10.4,2.93,2.07
2500,01/23/2020,3.36,4.6,0.573,2.63,-2,0.411,9.52,-0.651,0.659
3400,01/23/2020,2.85,2.69,12.7,1.1,1.42,-1.79,1.78,0.977,0.414
3600,01/23/2020,2.7,3.05,4.97,1.75,0.381,-1.77,8.47,0.914,1.24
4400,01/23/2020,1.53,9.36,-3.13,-2.26,-3.77,-14.1,-9.61,-1.42,1.07
900,01/24/2020,4.51,8.07,3.18,3.08,6.55,5.32,5.93,4.47,2.72
2500,01/24/2020,4.2,4.84,2.39,6.97,-0.545,-0.558,4.16,0.978,2.42
3400,01/24/2020,4.79,3.46,11.7,3.54,5.7,-2.43,0.887,3.93,2.21
3600,01/24/2020,3.16,3.24,4.66,5.48,3.25,-2.23,1.79,2.94,2.44
4400,01/24/2020,1.94,14.7,-1.75,4.86,-0.891,-12.1,-24.4,3.31,8.01
900,01/25/2020,1.85,8.94,0.642,2.46,-0.558,1.66,3.57,-0.103,0.175
2500,01/25/2020,2.11,3.77,-0.633,4.28,-2.22,-3.42,5.5,-0.644,0.863
3400,01/25/2020,2.86,3.76,11.8,2.15,2.02,-2.28,-0.925,1.84,1.65
3600,01/25/2020,2.31,5.42,5.71,4.46,2.54,-3.4,0.648,2.75,2.83
4400,01/25/2020,0.496,15.1,-8.98,-1.55,-2.51,-10.2,-31.3,-1.81,-1.13
900,01/26/2020,0.428,5.21,-3.82,1.57,1.75,2.59,6.49,1.19,0.768
2500,01/26/2020,1.14,1.47,-6.16,0.966,3.21,-4.94,1.32,0.836,-1.88
3400,01/26/2020,0.881,0.587,5.63,0.516,3.32,-1.23,-0.413,1.35,-0.363
3600,01/26/2020,-0.266,0.366,0.868,-0.306,1.31,-3.88,1.35,0.139,-0.963
4400,01/26/2020,0.697,13.1,1.04,2.36,2.37,-8.18,-36.2,0.152,-2.09
900,01/27/2020,-4.67,-1.59,-9.68,-5.85,-8.47,2.25,0.296,-6.5,-5.03
2500,01/27/2020,-5.79,-4.38,-10.1,-9.07,-12.1,-5.14,-2.16,-11.9,-11.7
3400,01/27/2020,-3.06,-2.55,2.85,-5.2,-4.7,-2.68,-0.689,-4.71,-4.77
3600,01/27/2020,-4.78,-3.94,-2.37,-5.67,-8.82,-3.9,-3.18,-7.77,-6.87
4400,01/27/2020,-2.37,12,5.32,-3.74,-9.19,-2.03,-41.1,-8.83,-8.44
900,01/28/2020,-8.06,-5.75,-9.23,-7.31,-12.2,0.544,0.0836,-8.18,-5.05
2500,01/28/2020,-6.85,-3.08,-9.01,-4.34,-12.4,-11.4,-1.88,-10.3,-8.1
3400,01/28/2020,-5.18,-2.67,-1.25,-6.35,-6.7,-7.51,1.69,-6.39,-6.17
3600,01/28/2020,-5.84,-4.19,-0.453,-5.19,-10.7,-7.65,-3.15,-8.42,-6.34
4400,01/28/2020,-1.28,11.2,-3.79,1.13,-3.83,4.13,3.66,-4.49,-5.43
900,01/29/2020,-6.32,-0.7,-8.31,-4.34,-10.7,2.71,1.08,-7.03,-4.18
2500,01/29/2020,-5.78,-2.7,-6.68,-3.5,-10.3,-17.7,1.09,-8.6,-6.7
3400,01/29/2020,-4.89,-0.746,-1.51,-5.12,-6.59,-7.72,1.62,-5.61,-4.73
3600,01/29/2020,-5.99,-2.7,-2.92,-4.07,-9.8,-11.7,-4.24,-7.42,-5.15
4400,01/29/2020,-0.917,12.4,34.3,2.64,-1.64,10.3,5.09,-2.17,-3.13
900,01/30/2020,-4.37,1.26,-8.77,-0.508,-9.34,3.4,-5.32,-4.59,-0.766
2500,01/30/2020,-4.23,-1.28,2.29,-1.53,-6.9,-14.2,-1.8,-5.21,-3.28
3400,01/30/2020,-3.47,1.63,-2.05,-2.82,-5.35,-4.71,-2.33,-4.19,-3.1
3600,01/30/2020,-3.52,-0.117,-1.31,-0.663,-6.79,-9.08,-6.29,-3.76,-0.778
4400,01/30/2020,-2.35,4.45,7.87,12.2,1.82,16.4,40.5,-2.04,-6.92
